state,district,forecast_month,forecast,pi_low,pi_high,last_month,last_value
Chhattisgarh,Rajnandgaon,2026-01-01,95.5283203125,58.10219672049154,132.95444390450845,2025-12-01,86
Chhattisgarh,Sakti,2026-01-01,12.03076171875,0.0,25.676295147172,2025-12-01,7
Chhattisgarh,Sarangarh-Bilaigarh,2026-01-01,3.0625,0.0,6.344381504455033,2025-12-01,4
Chhattisgarh,Sukma,2026-01-01,24.740234375,0.0,77.85834237386838,2025-12-01,23
Chhattisgarh,Surajpur,2026-01-01,97.4072265625,59.27506162845912,135.53939149654087,2025-12-01,106
Chhattisgarh,Surguja,2026-01-01,116.2236328125,83.07998201570464,149.36728360929536,2025-12-01,116
Chhattisgarh,Uttar Bastar Kanker,2026-01-01,17.958984375,10.848991290094462,25.06897745990554,2025-12-01,16
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-12-01,1.25390625,0.2090936269627619,2.298718873037238,2025-11-01,1
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2026-01-01,31.017578125,16.297552913494762,45.73760333650524,2025-12-01,31
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2026-01-01,3.9482421875,0.3316962313976921,7.564788143602308,2025-12-01,5
Dadra and Nagar Haveli and Daman and Diu,Daman,2025-12-01,3.125,1.6831319306497683,4.566868069350232,2025-11-01,3
Dadra and Nagar Haveli and Daman and Diu,Diu,2026-01-01,1.625,0.0,3.8505947058868997,2025-12-01,1
Daman & Diu,Daman,2025-05-01,1.0,1.0,1.0,2025-04-01,1
Daman & Diu,Diu,2026-01-01,1.5,0.2603871572139953,2.7396128427860047,2025-12-01,2
Daman and Diu,Daman,2025-12-01,2.125,0.9622950942103949,3.287704905789605,2025-11-01,2
Daman and Diu,Diu,2026-01-01,2.875,0.0,6.798946008777674,2025-12-01,4
Delhi,Central Delhi,2026-01-01,61.21923828125,0.0,158.13900792723786,2025-12-01,60
Delhi,East Delhi,2026-01-01,142.94287109375,0.0,420.2039580336103,2025-12-01,127
Delhi,Najafgarh,2026-01-01,1.6015625,0.03256236117448075,3.170562638825519,2025-12-01,2
Delhi,New Delhi,2026-01-01,7.1767578125,0.0,84.22204885409509,2025-12-01,6
Delhi,North Delhi,2026-01-01,76.5869140625,0.0,158.59259742856455,2025-12-01,73
Delhi,North East,2026-01-01,41.26611328125,24.41111994673884,58.121106615761164,2025-12-01,39
Delhi,North East Delhi,2026-01-01,158.91748046875,0.0,484.5849776469421,2025-12-01,141
Delhi,North West Delhi,2026-01-01,328.46435546875,104.28294403758184,552.6457668999182,2025-12-01,311
Delhi,Shahdara,2026-01-01,16.66845703125,0.0,83.07877318980023,2025-12-01,17
Delhi,South Delhi,2026-01-01,261.3505859375,79.00168424436873,443.69948763063127,2025-12-01,244
Delhi,South East Delhi,2026-01-01,3.04296875,0.0,7.786261027460457,2025-12-01,5
Delhi,South West Delhi,2026-01-01,208.47021484375,66.46175738832724,350.4786722991728,2025-12-01,221
Delhi,West Delhi,2026-01-01,242.3125,0.0,878.9208441411928,2025-12-01,224
Goa,North Goa,2026-01-01,39.17333984375,23.53843134854109,54.80824833895891,2025-12-01,40
Goa,South Goa,2026-01-01,32.69384765625,19.105760018316623,46.28193529418338,2025-12-01,35
Gujarat,Ahmadabad,2026-01-01,37.9775390625,0.0,340.3557313512572,2025-12-01,37
Gujarat,Ahmedabad,2026-01-01,577.1103515625,395.26039715180207,758.9603059731979,2025-12-01,583
Gujarat,Amreli,2026-01-01,103.01513671875,44.95888836625085,161.07138507124915,2025-12-01,105
Gujarat,Anand,2026-01-01,164.28515625,60.57765927102899,267.992653228971,2025-12-01,171
Gujarat,Arvalli,2026-01-01,55.14794921875,5.999307234168782,104.29659120333122,2025-12-01,55
Gujarat,Banas Kantha,2026-01-01,29.38671875,0.0,1356.019284010774,2025-12-01,6
Gujarat,Banaskantha,2026-01-01,337.6181640625,0.0,695.1673286655522,2025-12-01,369
Gujarat,Bharuch,2026-01-01,135.44189453125,78.89525505569898,191.98853400680102,2025-12-01,146
Gujarat,Bhavnagar,2026-01-01,312.638671875,105.69740301990117,519.5799407300988,2025-12-01,361
Gujarat,Botad,2026-01-01,48.2841796875,0.0,148.0036959736984,2025-12-01,60
Gujarat,Chhotaudepur,2026-01-01,65.03466796875,0.0,209.59982047783802,2025-12-01,71
Gujarat,Dahod,2026-01-01,253.763671875,16.439061949409222,491.0882818005908,2025-12-01,274
Gujarat,Dang,2025-02-01,872.0,872.0,872.0,2025-01-01,872
Gujarat,Devbhumi Dwarka,2026-01-01,54.77001953125,0.0,122.67600547395764,2025-12-01,69
Gujarat,Dohad,2026-01-01,70.419921875,0.0,663.6173147907338,2025-12-01,73
Gujarat,Gandhinagar,2026-01-01,122.17724609375,7.149602009122461,237.20489017837752,2025-12-01,118
Gujarat,Gir Somnath,2026-01-01,95.30322265625,0.0,272.93251569338054,2025-12-01,104
Gujarat,Jamnagar,2026-01-01,128.642578125,23.49061639693052,233.79453985306947,2025-12-01,136
Gujarat,Junagadh,2026-01-01,174.96142578125,117.2673825429769,232.65546901952308,2025-12-01,171
Gujarat,Kachchh,2026-01-01,163.57958984375,0.0,343.8279421836945,2025-12-01,186
Gujarat,Kheda,2026-01-01,221.1259765625,109.49894103763945,332.75301208736056,2025-12-01,211
Gujarat,Mahesana,2026-01-01,177.392578125,62.92565023530598,291.85950601469403,2025-12-01,187
Gujarat,Mahisagar,2026-01-01,56.76123046875,9.00477294165377,104.51768799584623,2025-12-01,58
Gujarat,Morbi,2026-01-01,76.17626953125,0.0,379.0575557924944,2025-12-01,76
Gujarat,Narmada,2026-01-01,49.8701171875,33.77358632421022,65.96664805078979,2025-12-01,50
Gujarat,Navsari,2026-01-01,75.0927734375,32.21005677838481,117.97549009661519,2025-12-01,79
Gujarat,Panch Mahals,2026-01-01,3.533203125,0.0,102.67152307674874,2025-12-01,3
Gujarat,Panchmahals,2026-01-01,193.96240234375,102.47463216374462,285.4501725237554,2025-12-01,205
Gujarat,Patan,2026-01-01,166.12060546875,0.0,445.9145903305746,2025-12-01,202
Gujarat,Porbandar,2026-01-01,44.646484375,0.0,117.1267663981821,2025-12-01,55
Gujarat,Rajkot,2026-01-01,281.17529296875,0.0,730.977356762522,2025-12-01,301
Gujarat,Sabar Kantha,2026-01-01,8.224609375,0.0,178.78211542588505,2025-12-01,5
Gujarat,Sabarkantha,2026-01-01,146.42431640625,75.8979662613605,216.9506665511395,2025-12-01,152
Gujarat,Surat,2026-01-01,525.921875,0.0,1101.0800086667725,2025-12-01,531
Gujarat,Surendra Nagar,2026-01-01,208.38671875,117.9027256271658,298.8707118728342,2025-12-01,223
Gujarat,Surendranagar,2026-01-01,5.982421875,0.0,144.78214025343848,2025-12-01,2
Gujarat,Tapi,2026-01-01,101.32421875,51.698196608862936,150.95024089113707,2025-12-01,90
Gujarat,The Dangs,2026-01-01,37.3310546875,11.310925615614323,63.35118375938568,2025-12-01,36
Gujarat,Vadodara,2026-01-01,298.76953125,136.12872703416204,461.410335465838,2025-12-01,297
